porti|携带
舞蹈艺术|dancarto
舞会|balo
舞剧|baleto
舞曲|dancmuziko
舞台|scenejo
舞台监督|sceneja direktoro
舞厅|dancejo
侮辱|malhonori\nsenhonorigi\nofendi
戊戌变法|la Reforma Movado de l898
雾|nebulo
物产|produkto\nproduktajho
物价|prezo de varo
物件|objekto
物镜|objektivo
物理|fiziko
物理学家|fizikisto
物体|korpo\nsubstanco\nobjekto
物质|substanco\nmaterio
物质基础|materia bazo
物主|proprulo\nposedanto\nproprietulo
勿忘草|miozoto
误差|ekarto
误会|miskompreni\nerare kompreni
误解|miskompreni
西半球|la okcidenta hemisfero
西方|okcidento
西瓜|akvmelono
西红柿|tomato
西葫芦|kukurbo
西药|okcidenta medikamento
西医|okcidenta medicino
西装|okcident-stila
矽肺病|silikozo
矽钢|silicia shtalo
吸|sorbi\nsuchi\nenspiri
吸尘器|polvosuchilo
吸尽|elsuchi
吸取|suchi\nasimili\ncherpi
吸入|enspiri
吸收|varbi\nasimili\nakcepti
吸铁石|magneto
吸血鬼|vampiro\nsangosuchanto
吸烟|fumi
吸引|obsorbi\naltiri\nlogi
锡|stano
锡纸|staniolo\nstanfolio
牺牲|oferi\nforoferi\nmartirighi
牺牲品|viktimo
稀罕|rara\nkurioza
稀少|malofte\nrare
稀释|malkoncentri\ndilui
稀疏|disa\nmaldensa
稀土|rara tero
稀有金属|rara metalo
稀有元素|rara elemento
希伯来人|hebreo
希罕|rara
希腊人|heleno\ngreko
希奇|rara\nstranga\nkurioza
希望|esperi\ndeziri
膝盖|genuo
膝盖骨|patelo
夕|vespero
熄灭|estingi
溪流|rivereto
犀角|rinocera komo
犀牛|rinocero
袭击|ataki\nsurprizi\nsurprizataki
席|mato
席卷|forbalai\nenvolvi
席位|sidloko
习惯于|kutimi：kutimighi\nalkutimighi
习惯语|idiotismo\nidiomajho
习俗|moro\nkonvencio
习性|kutimo kaj raktero
媳妇|bofilino
喜爱|plachi al\nshati\nami
喜欢|shati\nami
喜剧|komedio
喜气洋洋|ghojplene
喜鹊|pigo
喜人|ghojiga
喜讯|ghojiga afero\nghijiga informo
喜悦|ghojo
铣床|frezmashino
洗|lavi
洗涤|lavi
洗涤剂|lesivo
洗发剂|shampuo
洗劫|prirabi
洗礼|bapti
洗礼盆|baptujo
洗衣|lavi veston
洗衣板|lavtabulo
洗衣机|lesivmashino\nlavmashino
洗衣盆|lavujo
洗印|kopii
洗澡|bani
系|ligi\nfakultato\nsistemo
系列|serio
系谱图|genealogio
系谱学|genealogio\ngeneraciaro
系数|koeficiento
系统|sistemo
系主任|dekano
戏法|jhonglado
戏剧|teatr(ajh)o
戏弄|mistifiki
戏曲|tradicia opero\nloka opero
戏院|teatro
细胞|celo
细胞核|chela kerno
细节|detalo
细颈瓶|botelo
细菌|bakterio
细菌武器|bakteria armilo
细纱|maldika fadeno
细心|atentema
细羊毛|zefirlano\nfajna lano
细则|detalaj reguloj
瞎|blinda
瞎子|blindulo
虾|salikoko
虾干|sekigitaj salikokoj
虾仁|salikoka karno
虾油|salikoka sawco
匣|kesto\nskatolo
霞|chielrugho
峡|gorgho
峡谷|ravino
狭隘|mallargha
狭隘观念|parohhismo
狭窄|mallargha
下巴|mentono
下摆|basko
下班|fini laboron\nfini dejhoron
下半旗|duonhisi flagon
下冰雹|hajli
下策|malbonaplano
下场|fino
下赌注|priveti
下跪|genui\ngenuighi
下级军官|suboficiro
下贱|humila\nmalnobla\nservila
下降|malsupreniri\nmallevighi
下列|jene
下令|ordoni
下流|senhonta
下马|dechevalighi
下棋|ludi shakon
下去|malsuperniri
下水道|kloako
下水道口|shlimputo
下午|posttagmeze
下旬|la lasta tagdeko de monato
下意识|subkonscio
下游|malsupra baseno
下雨|pluvi
下葬|enterigi
下中农|malsupera mezkomperano
下腭|mandiblo
下颌|mentono
夏季|somero
夏历|la tradicia china kalendaro\nla luna kalentato
夏天|somero
夏至|la Somera SolstiCO
吓唬|tirmigi
掀起|levi
先锋|sangarvar\noniro
先锋队|avangardo
先进|avangarda\nporgresa\nantawira
先决条件|antawkondicho
先例|precedenco
先烈|martiro
先驱|pioniro\nantawiranto
先生|sinjoro\ninstruisto
先天|denaska
先行者|artawiranto
先验|apriora
先验论|apriorismo
先斩后奏|fari unue kaj reporti poste
先兆|awguro
先知者|profeto
仙女|feino
仙人掌|kakto
鲜|fresha
鲜花|fresha floro
鲜明|klara
鲜血|sango
鲜艳|brilkolora
纤弱|delikata\nfebla\nmalforta
纤维|fibro
纤维素|celulozo
纤细|delikata\nsubtila
咸菜|peklita legomo
咸肉|peklita viando
咸鱼|peklita fisho
舷窗|bovokulo
舷梯|passhtupetaro
闲谈|babiti
闲暇|libera tempo
弦|kordo
弦乐器|kordinstrumento
嫌恶|malinklini\nmalshati\nabomeni
嫌让|cedema
嫌疑|suspekto
显得|aspekti\nshajni
显贵|grandsinjoro\ngrandulo
显赫|impona
显然|evidente
显示|montri\nelmontri\nmanifesti
显微镜|mikroskopo
显现|sin manifesti\nmanifestighi\ndistingighi
显象管|kineskopo
显眼|okulfrapa
显影|riveli
显著|okulfrapa\nrimarkinda
险隘|strategia pasejo\ngorgvojo
险恶|danghera
险境|danghera situacio
险讨|sin kritiki
现成|preta
现代|nuntempa\nmoderna
现代化|modernigo
现金|kontanta
现今|hodiaw\nnuntempe
现款|kontanta mono
现实|reala\naktuala
现实意义|aktuala signifo\nreala signifo
现实主义|realismo
现象|fenomeno
现在|nun\nnuntempe\nhodiaw
现状|nuna stato
献给|donaci\nprezenti\noferi\ndedichi
献礼|donaco\noferdono
献媚|flati
献身|sin dedichi\nsin oferi\noferema
献赠|omaghi\ndedichi
县|gubernio
县长|guberniestro
县城|gibernia urbo
腺|glando
馅|farcho
馅饼|pastecho
羡慕|envii\nadmiri
宪兵|ghendarmo
宪法|konstitucio
宪章|charto
宪政|konstitucia reghimo
陷害|insidi
陷入|enfali
陷阱|enfalujo\nenfalilo\nkaptilo
限酬|rekompenco
限答|repagi
限道|raporti
限定|determini\nlimigi
限度|limo
限复|venghi\nrepagi
限量供应|porciumi
限期|limtempo
限制|limigi
线|fadeno\nlinio
线路|lineo
线描|linia desegno
线圈|bobeno\nvolvajho
线条|linio\nstrio
线轴|bobeno
相比|komparo
相册|fotoalbumo
相等|egala
相对|relativa
相反|inversa\nmala\nkontrawa
相仿|simila
相符|konforme
相隔|distanci
相关|kocerna
相合|kongrui
相互|reciproka
相互关系|interrilatoj
相互了解|interkomprenighi
相机|fotilo
相貌|fizionomio\naspekto
相片|foto\nfotografajho
相劝|persvadi\nadmoni
相商|interkonsilighi
相识|konatighi
相思树|akacio
相似|simili
相似点|similajho
相通|komunikighi\ninterkomuniki
相同|sama\nidenta
相信|kredi\nkonvinkighi\nfidi
镶边|borderi
镶嵌|inkrusti\ndamaskeni
香摈酒|champano
香肠|kolbaso
香粉|pudro
香膏|pomado
香蕉|banano
香蕉树|bananujo
香精|esenco
香客|pilgrimanto
香料|parfumo\naromajho
香炉|incensujo
香水|parfumo
香味|bonodoro
香烟|cigaredo
香油|sezama oleo
香皂|tualetsapo
香脂|balzamo
箱子|kesto
乡村|vilagho
乡里|hejmloko\nsamvilaghanto
乡亲|samvilaghanto
乡绅|vilagha sinjoro\nvilagha ghentlemano
乡下|kamparo
乡下人|kamparano\nkampulo
乡邮|kampora poshtisto
详情|detalo
详细|detala
想|pensi\nintenci\nvoli
想法|ideo\nopinio
想念|sopiri
想起|rememori\nekmemori
想入非非|fantazio
想望|deziri\nvoli\naspiri
想像力|imago\nimagado\nimagemo\nimagipovo
想象|imagi\nfantazii
响|sonori\nsoni
响板|klakileto
响彻|soni tra
响亮|lawta\nsonora
响尾蛇|sonserpento\nkrotalo
响应|respondi
享乐|ghui
项链|chirkawkolo\nkoliero
巷道|tunelo
巷战|strata batalo
橡胶|kawchuko
橡皮|frotgumo\nskrapgumo
橡实|glano
橡树|glanarbo\nkverko
向导|gvidisto
向后|dorsdirekte\ndorse
向来|chiam
向日葵|sunfloro\nhelianto
向上卷|suprenvolvi
向上抛|suprenjheti
向往|sopiri\naspiri
象|elefanto
象鼻|rostro
象棋|shako
象声词|onomatopeo
象牙|eburo
象征|emblemo\nsimbolo
象征派|simbolismo
萧条|depresio
削减|redukti
消沉|deprimi
消除|elimini\nforigi
消楚|klare
消毒|malinfekti\nseninfektigi\ndesinfekti\nsteriligi
消毒器|desinfektilo
消防队|fajrobrigado
消防队员|fajroestingisto\nfajrosoldato
消费|konsumi
消耗|konsumi
消化|asimili\ndigesti
消化不良|dispepsio
消极|pasiva\nnegativa
消灭|ekstermi\nneniigi\nsenigi
消遣|distrighi\namuzigi
消融|degeli
消失|perdighi\nmalaperi\nforighi
消逝|forpasi\nmalapari
消瘦|marasmo\nmaldikigho
消亡|forperei
消息|komunikajho\nnovajho\ninformo
消炎|kontrawinflama
小|malgranda\neta
小便|urini\npisi
小册子|pamfleto\nbroshuro
小产|aborti
小肠|maldika intesto
小吃店|bufedejo
小丑|pajaco\nklawno\nhistriono\narlekeno
小船|barko\nboato
小窗口|gicheto
小道|vojeto\npado
小儿|infano\nbebo
小儿科|pediatrio
小儿麻痹症|infana paralizo\npoliomjelito
小贩|detalisto\nkolportisto
小费|trinkmono\nbakshisho
小腹|subventro
小伙子|knabego\nfrawlo
小集团|kliko
小解|urini\npisi\nellasi akvon
小姐|flawlino
小径|pado\nvojeto
小康|bonhava
小老婆|kromedzino
小麦|tritiko
小米|milio
小脑|cerebelo\ncerbeto
小品文|eseo
小气|avara
小时|horo
小事|malgravajho\nbagatelo
小室|chelo
小数|decimalo
小数点|decimala komo
小睡|dometi
小说|romano\nnovelo
小提琴|violono
小偷|shtelisto
小腿|kruro
小肖像|miniaturo
小写字母|minusklo
小心|singardemo\nsingardeco\natentemo
小熊猫|malgranda\npando
小熊星座|la Malgranda Ursino
小学|elementa lernejo
小夜曲|serenado
小指|malgranda fingro
小舟|barko\nboato
小资产阶级|etburgharo\netburgho
小组|grupo\nchelo
孝服|funebra vesto
孝顺|fileca obeemo
校|lernejo
校长|direktoro\nlernejestro
校订|korekti
校对|revizii
校改|korekti\nsurkorekti
校样|provajho
校医|lerneja kuracisto
校友|samlernejano
校正|korekti\nrevizii
肖像|portreto
笑|ridi
笑话|spritajho\nhumurajho
笑剧|farso
笑里藏刀|insido en la ridoj
效法|sekvi la ekzemplon de\nlerni de
效果|frukto\nefiko
效劳|servi al\nlabori
效力|efikeco\nefiko
效率|efiko
效能|efiko
楔形文字|kojnoskribo
楔子|kojno
歇斯底里|histerio
歇息|ripozi
蝎子|skorpio
鞋|shuo
鞋帮|shudorso
鞋带|shulacho
鞋底|plandumo
鞋匠|shuisto
鞋刷|shubroso
鞋油|ciro
协从|farighi komplico\nsub devigo
协调|harmoniigi\nkunordigi
协定|pakto\nkonvencio\ninterkonsento
协会|asocio\nligo
协力|kune peni
协商|interkonsilighi
协议|interkonsento
协助|helpi\nasisti
协奏曲|koncherto
协作|kunagi\nkunlabori
携带|(kun)porti
携手|mano en mano
邪恶|perversa\nmalica\nhereza
邪教|herezo
邪教徒|herezulo
斜|oblikva\nklinighanta
斜路|erara vojo\nmalghusta vojo
斜坡|deklivo
斜视|strabi
胁迫|devigi
谐和|harmonio\nkonkordo
写|skribi
写字台|skribotablo
写作|verki
卸|malsharghi
蟹|krabo
懈怠|maldiligenta
泄漏|tralikighi
泄密|perfidi sekreton\nmalkashi sekreton
泄气|deprimi
泄水闸|akvoellasa kluzo
泄私愤|vershi personan malamon
泻肚|laksi
泻药|laksigilo
谢继雷|Danci.Z\nXie Jilei\nDanSei
谢谢|danki
薪金|salajro
薪水|salajro
锌|zinko
锌版腐蚀刻|zinkogravuro
欣赏|apreci\nghui\nadmiri
欣悉|ghoje informighi
辛迪加|sindikato
辛亥革命|la Revolucio de 1911
辛苦|peniga
辛辣|pika\nakra
辛勤|diigenta
辛酸|amara
新|nva\nfresha
新兵|rekruto
新陈代谢|metabolo
新词|neologismo
新纪元|nova erao
新郎|novedzo
新民主主义革命|nov-demokratia revolucio
新年|novjaro
新娘|novedzino
新石器时代|neolitiko
新事|novajho
新手|novico
新闻|novajho
新闻记者|gazetisto\njhurnalisto
新闻学|jhurnalistiko
新闻业|jhurnalismo\ngazetistaro
新鲜|fresha\nnova
心|koro
心爱|kara
心不在焉|distrighema\nmalatenta
心肠软|molkora
心电图|kardiogramo
心甘情愿|volonte
心狠|kruele
心花怒放|plena de ghojo
心肌梗死|miokardia infarkto
心急|malpacienca
心悸|palpitacio
心理|psikologio
心灵|animo\nmenso\npsiko
心情|humoro
心情沉重|korpremo
心意|bonvolo\nafableco
心愿|deziro\nespero\nvolo
心脏|koro
心醉|esti charmita\nesti ravita\nesti ensorchita
信|letero
信贷|kredito
信贷资本|pruntedona kapitalo
信封|koverto
信奉|kredi
信服|konvinkighi
信号|signalo
信号弹|lumraketo
信件|letero
信赖|konfidi\nkredi
信任|kredi\nkonfidi\nfidi
信使|kuriero
信条|dogmo
信筒|cilindra poshtkesto
信徒|fidelulo\nadepto\nreligiulo\ndischiplo
信托|konfidi\nkomisii
信息|mesagho\ninformo
信箱|leterkesto\nleterskatolo\nposhtkesto
信心|fido\nkredo\nmemfido
信仰|kredi
信用|kredito
信用合作社|kredita kooperativo
信纸|leterpapero
星|stelo
星斗|stelo
星光|stellumo
星火|fajrero
星期|semajno
星期二|mardo
星期六|sabato
星期日|dimancho
星期三|merkredo
星期四|jhawdo
星期五|vendredo
星期一|lundo
星系|galaksio
星云|nebulozo
星座|stelaro\nkonstelacio
腥味儿|fisha odoro
猩红|skarlato
猩红热|skarlatino
猩猩|orangutango\norangutano
兴办|iniciati\nfunkciigi\nentrepreni
兴奋|ekscitighi\nekscito
兴建|konstrui
兴隆|prosperi
兴起|aperi\nlevighi
兴趣|intereso
兴旺|prospera\nvigla
刑场|ekzekutejo
刑法|kriminala kodo
刑法学者|kriminalisto
刑事|kriminala
刑事法庭|kriminala tribunalo
刑事诉讼|kriminala proceso
型号|tipo
形成|formighi\nkonsisti\nestighi
形动词|participo
形而上学|metafiziko
形容词|adjektivo
形式|formo\nformalo\nformalajho
形式主义|formalismo
形势|situacio
形态|formo
形态学|morfologio
形象|figuro\nbildo
形状|figuro\nformo
行程|etapo\nstadio\nirado\nvojdistanco
行刺|murdi
行动|agi\nmovighi
行话|slango\njhargono
行贿|subacheti\nkorupti
行家|spertulo
行劫|rabi
行军|marshi\nmilitiri
行李|pakajho
行李车|pakajhvagono
行礼|saluti
行列|vico\nvicaro
行猎|chasi
行乞|almozpeti
行情|kurzo
行人|pasanto\npiediranto
行善|bonfari
行驶|veturi
行市|kurzo
行为|ago\nkonduto\nfaro
行星|planedo
行业|profesio\nokupo
行政管理|administri
行政区|distrikto
行走|iri
醒来|vekighi
醒目|okulfrapa
醒目词|frapvorto
幸存|postvivi
幸福|felicho\nfortuno
幸亏|dank’al
幸运|felicho\nfortuno\nhazardo
杏|abrikoto
杏仁饼|makarono
杏仁酥|marcipano
性爱|amoro\namo
性别|sekso
性格|temperamento\nkaraktero
性交|seksumi\nsekskunighi\nkoiti\ngeighi\nkopulacii\nenveni
性命|vivo
性能|funkcio
性器官|sekso\nseksilo\nseksa organo
性情|temperamento
性欲|amoro\nseksimpulso
性质|kvalito\nkaraktero
性子|temperamento\nkaraktero
姓|familinomo\nnomo
兄弟|frato
兄弟般|frata
兄弟之谊|frateco
凶暴|feroca\nkruelega
凶残|kruela
凶恶|feroca
凶禽|rabobirdo
凶杀|murdo
凶手|murdisto
胸|brusto
胸甲|brustokiraso
胸腔|torako
胸膛|brusto
胸外科|toraka hhirurgio
匈奴|huno
汹涌|shtomi\ntorenti\nrulighi\nmughi
雄辩|elokventa
雄伟|grandioza\nimpona\nmajesta
雄心|ambicio
雄性|masklo\nvirsekso
熊|urso
熊胆|ursa galveziko
熊猫|pando
熊掌|ursa piedo
休耕地|novalo
休假日|libertempo\nferio
休克|shoko
休戚相关|ligighi intime per kumunaj interesoj
休息|ripozi
休闲地|senkultivejo\nnovalo
休战|militpawzo\narmistico
休整|ripozi kaj reordigi sin
休止|pawzo
修补|fliki\nripari
修辞学|retoriko
修辞学教师|retoro
修道院|monahhinejo\nmonahejo
修订|korektofara
修改|korekti\nmodifi\nrevizii
修理|ripari
修女|monahhino
修士|monahho
修饰|determini\nbeligi\nornami\ndekoracii
修整|ripari kaj ordigi
修正|korekti\nrevizii\namendi
修正案|kontrawprojekto\namendo
修正主义|reviziismo
修枝|stuci
修筑|konstrui
羞耻|honto\nhontindajho
羞怯|hontema
羞辱|malglori\nmalhonori\nhumiligi
嗅|flari
嗅觉|flara senso
嗅神经|flara nervo
锈|rusto
锈病|rusto
秀才|instruitulo
秀美|bela\ngracia
秀气|delikata\nrafinita\nbela\neleganta\nsvelta\ngracia
袖口|maniktruo
袖章|brakbendo
袖珍|posha
袖珍日历|posha kalendaro
袖子|maniko
绣花|brodi
需求|bezoni\npostuli
需要|bezoni\npostuli
虚报|falsa raporto
虚度|trasonghi\nforrevi\nvane pasigi\nmalshpari
虚构|fikcio
虚假|shajna\nfalsa
虚夸|bombasta
虚拟|fiktiva\nimaga
虚荣|vontemo
虚弱|febla\nmalforta
虚数|imaginaro
虚妄|vanta\nsenbaza
虚伪|hipokrita
虚无主义|nihiiismo
虚心|modesta
许多|multa\ngrandkvanta\ngrandnombra
许可|permesi
许诺|promesi
许愿|promeso\nprijhuro\nvoto\njhurpromeso
蓄电池|akumulatoro
蓄水池|akvujo
蓄意|intenci
叙事诗|eposo
叙述|rakonti
序幕|preludo
序曲|uverturo\npreludo
序数|vicmontra numeralo\norda numeralo
序言|antawparolo
畜牧|brutobredado
喧哗|bruego
喧嚷|brui
喧嚣|bruo
宣布|proklami\ndeklari
宣传|propagandi
宣传队|propaganda tachmento
宣告|proklami\nanonci
宣告无罪|malkondamni\nabsolvi
宣讲|prediki
宣判|anonci jughon\nanonci verdikton
宣誓|jhuri
宣誓结盟|jhurligi
宣言|deklaracio\nmanifesto
宣扬|propagandi\ndisvastigi
宣战|proklami militon\ndeklari militon
悬挂|pendi
悬空|supertera
悬念|zorgi\nmaltrankvilighi
悬索桥|pendoponto
悬梯|pendanta shtuparo
悬崖|klifo
悬崖勒马|bridi la chevalon antaw abismo
旋床|tornilo
旋风|ciklono
旋律|melodio
旋涡|kirlo\nakvokirlo\nturnakvo
旋转|turnighi\nkirlighi\nrotacii
玄妙|okulta\nmistera
玄学|okultismo\nmetafiziko
选拔|selekti\nelekti
选本|antologio\nelektitaj verkoj
选集|elektitaj verkoj
选举|elekti
选举权|vochdonrajto\nbalotrajto
选派代表|deputi\ndelegi
选票|balotilo
选区|elektdistrikto
选择|elekti
选种|semoselekti
眩晕|kapturno
靴子|boto
学|studi\nlerni
学费|pago por instruado
学会|instituto\nasocio
学究|pedanto
学科|fako
学龄|lernojaro\nlernago
学名|scienca nomo
学年|lernjaro
学派|skolo
学期|lernotempo\nsemestro
学生|studento\nlernanto\nlernejano
学生会|studenta ligo
学生运动|studenta movado
学生证|studenta karto
学时|lernohoro\nlernotempo
学识|instruiteco\nklereco
学术报告|prelego\nakademia raporto
学术论文|disertajho\ndisertacio\ntraktato\ntraktajho
学说|doktrino\ntezo
学童|lernoknabo
学徒|lernoservi\nmetilerni
学徒期|provjaro
学完|ellerni
学位|akadermia rango
学问|instruiteco
学习|lerni
学校|lernejo
学员|kursano
学院|akademio\ninstituto\nkolegio
学制|eduka sistemo
穴|foso\nkavo\ntruo\nkaverno\ngroto
穴居人|kavernhomo\nkavernulo
穴位|akupunktura punkto
穴乌|monedo
穴熊|melo
雪|negho
雪白|neghblanka
雪暴|shtormo
雪豹|neghleopardo
雪崩|lavango
雪堆|neghduno
雪糕|glacia kremo
雪花|neghero\nneghfloro
雪花石膏|alabastro
雪鸡|neghkoko
雪晶|neghkristalo
雪橇|sledo\nglitveturilo
雪茄|cigaro
雪松|cedro
雪线|neghlinio
血|sango\nsango
血管|angio\nvaskulo\nsangvazo
血汗劳动|shvitlaboro
血红蛋白|hemoglobino
血浆|plasmo
血清|sero
血吸虫病|skistosomozo
血型|sangogrupo
血压|sangpremo
血液|sango
血战|sanga batalo
勋章|ordeno
熏|fumajhi
循环|cirkuli\nrondiri
循环系统|cirkula sistemo
旬括|inkluzivi
询问|demandi\npridemandi
寻求|serchi
寻衅|provoki
寻找|serchi
驯|dresi
驯马|manegho
巡道车|motorvagono
巡回|rondiri
巡逻|patroli\nkrozj\nkontroliri
巡逻队|patrolo
巡视|inspekti
巡洋舰|krozshipo
巡夜|noktopatroli
殉难者|martiro
殉职|morti sur la posteno
训诲|instruo
训练|ekzerci\ntrejni
训练班|kurso
训令|instrkcio
迅即|tuj
迅速|rapide
压|premi
压倒|subigi\nsuperi
压服|devigi\nperforti
压力|premo
压力机|premilo
压力计|manometro
压路机|rulpremilo\nshoselrulilo
压迫|premi\nsubpremi
压缩|kunpremi\ndensigi\nkondensi\nredukti
压抑感|premsento\nprematenco
压韵|rimi
压制|premi\nsubigi
押当|lombardi
押金|mona garantiajho\nantawpago
押送|eskorti
押韵|rimi
押走|foreskorti
鸦片|opio
鸭|anaso
鸭蛋|anasovo
鸭绒被|lanuga litkovrilo
鸭嘴笔|truskeno
鸭嘴兽|ornitorinko
牙|dento
牙槽|dentingo
牙床|gingivo\ndentokarno
牙雕|ebura skulptajho
牙膏|dentopasto
牙科|dentistarto
牙签|dentpinglo
牙刷|dentobroso
牙医|dentisto
牙龈|dentokarno
蚜虫|afido
雅致|eleganta\ndelikata
哑|muta
哑巴|mutulo
哑剧演员|mimo
哑口无言|muta
哑铃|haltero
亚军|subchampiono\nla dua loko
亚麻|lino
亚麻布|tolo
亚热带|subtropika zono
亚洲|Azio
咽|gluti
咽喉|gorgho\nfaringo kaj laringo
咽气|spiri la lastan spiron\nmorti
阉割|kastri
烟|tumo
烟草|tabako\nnikotiano
烟尘|flugcindro\nfumajho
烟囱|fumtubo\nkamentubo\nfumellasilo
烟斗|pipo
烟灰缸|cindrujo
烟火|arta fajrajho\nfajrajho
烟碱|nikotino
烟卷儿|cigaredo
烟幕弹|fumbombo
烟消云散|komplete malaperi
烟叶|tabakfolio
淹没|supervershi\ninundi\nsuperakvi
淹死|droni
盐|salo
盐场|salejo
盐湖|sallago
盐碱土|salalkala grundo
盐井|salputo
盐水|salakvo
盐税|salimposto
严惩|severe puni
严冬|severa vintro
严防|strite gardi\nkontraw
严格|rigora
严寒|frosto\nmalvarmego
严紧|strikta\nrigora
严峻|severa
严酷|kruela\nrigora\nsevera
严厉|rigora\nmalmilda\nsevera
严肃|serioza
严重|serioza\ngrava
研究|studi\nesplori
研究报告|referato\nreferajho
研究院|instituto
研讨|diskuti\ninterkonsilighi
研制|fabriki
岩洞|groto\nkaverno
岩浆|magmo
岩石|roko
岩心|rokkerno
岩穴|karverno\ngroto
延长|longigi\netendi
延缓|prokrasti
延期|krasiti\npostdati\nmalfruigi
延伸|tirighi\netendighi
延续|kontinui\ndawri
言和|repacigi\npacigi
言教|instrui per vortoj
言论自由|libereco de parolo
言行|vortoj kaj faroj(agoj)
言语|lingvo\nparolo
颜料|kolorilo\nfarbo
颜色|koloro
阎罗王|Plutono
炎热|varmego
炎暑|varma somero
沿海|lawlonge de marbordo\nmarborde
沿街叫卖|kolporti
沿路|law la vojo\nsur la vojo
沿用|dawre uzi
掩蔽|shirmi
掩藏|kashi
掩盖|kovri\nshirmi
掩护|shirmi
掩饰|maski\nkovri\nkashi
掩体|shirmejo
眼|okulo
眼界|vidkampo
眼睛|okulo
眼镜|okulvitroj
眼科|oftalmologio
眼科医生|okulisto
眼泪|larmo
眼毛|okulharoj
眼眉|brovo
眼球|okulglobo
眼窝|orbito\nokulkavo
眼炎|oftalmito
眼药水|okulakvo\nkolirio
眼罩|okulshirmilo
眼睑|palpebro
衍变|evoluo
演变|disvolvi\nevolui
演出|prezenti\nludi
演化|evolui
演讲|doni lekcion\nfari paroladon\nlekcii\nprelegi
演说家|oratoro\nretoro
演算|operacii
演习|manovri\nekzerci\npraktiki
演员|aktoro\nrolulo
演奏|ludi
堰|akvobarajho
燕麦|aveno
燕尾服|frako
燕窝|manghebla hirundnesto
燕子|hirundo
厌恶|abomeni\nantipatii\nmalshategi
厌烦|enuigi\ntedi
厌倦|enui
厌世|pesimimo
厌世者|pesimisto
唁电|kondolenca telegramo
焰火|raketo\narta fajrajho\nfajrajho
宴会|festeno\nbankedo
宴席|festeno\nbankedo
谚语|proverbo
验算|kontroli kalkulon
验血|sanga ekzameno
秧苗|plantido\nrizplantido
秧畦|semobedo
杨树|poplo
扬场|ventumi
扬场机|ventummashino
扬名|famighi势
扬声器|lawtparolilo
羊|shafo\nkapro
羊羔|shafido\nkaprido
羊毛|lano
羊皮|shaffelo
羊皮纸|pergameno
羊倌|shafpashtisto\nshafisto
洋白菜|brasiko
洋葱|cepo\nbulbo
洋奴|sklavo de fremda mastro\nlakeo de fremdlandano
洋人|fremdlandulo
洋水仙|hiacinto
洋铁片|ferlado
洋溢|plena de
洋泾滨|pighino
阳春|printempo
阳光|sunlumo\nsunbrilo
阳极|pozitiva poluso\npozitiva elektrodo\nanodo
阳历|suna kalendaro
阳面|suna flanko
阳伞|sunombrelo
阳台|teraso\nbalko
氧化|oksidi
氧化镁|magnezo
氧化物|oksido
氧气|oksigeno
仰望|rigardi supren
仰泳|dorsonagho
痒痒|juki
养病|ripozi por reakiri bonan sanstaton
养蜂场|abelejo
养活|vivteni
养鸡场|kokobredejo
养老金|pensio\nemerita salajro
养老院|maljunulejo
养料|nutrajho
养育|varti\neduki
养殖|kulturi
样板|modelo\nekzemplo
样本|specimeno\nprovekzemplero
样品|specimeno
样子|mieno\nmaniero\naspekto
邀请|inviti
腰|talio\nlumbo
腰包|posho\nmonujo
腰带|zono
腰椎|lumba vertebro
妖精|feo\nspirito
妖魔|demono\ndiablo
妖艳|koketa
摇摆|balanci
摇晃|skui\nshanceli
摇篮|lulilo
摇尾巴|vostumi
摇曳|flagreti\nsvingighi
遥控|teleregi\ntelekonduki
遥远|malproksima
窑洞|kaverno\nkavernodomo
谣言|onidiri\nfamo
咬|mordi
药材|drogo
药厂|farmacia fabriko
药典|farmakopeo
药方|recepto
药房|apoteko
药费|pago por medikamento
药膏|pomado
药剂|medicinajho\nmedikamento
药理学|farmakologio
药料|drogo
药片|tablojdo
药品|medicinajho\nmedikamento
药水|medicina likvajho
药丸|pilolo
药物学|farmacio
药用的|oficinala\noficina
药皂|mediksmenta sapo
要|voli\ndevi
要点|chefaj punktoj
要犯|grava krimulo
要饭|almozpeti
要害|kerna punkto\nvitala parto
要紧|grave
要命|mortiga
要强|superemo
要求|postuli
要人|gravulo\ngranda
要塞|fortikajho\nfortreso
要素|esenco\ngrava elemento
要闻|grava novajho
要职|grava posteno
耀眼|blindiga
椰枣|daktilarbo\ndaktiopalmo
椰子|kokoso
耶稣|Jesuo
爷爷|avo
野|sovagha
野菜|mangheblaj sovaghaj herboj
野餐|pikniko
野草|herbacho
野蛮|barbarismo\nsovageco
野蛮人|barbaro\nvandalo\nsovaghulo
野蛮行为|barbarajho\nkruelajho
野牛|sovaghbovo
野兽|sovaghbesto
野兔|leporo
野心|ambicio
野心家|karieristo\nambiciulo
野营|kampadi
野猪|apro
冶|fandi\nforghi
冶金工业|metalurgia industrio
冶金术|metalurgio
冶炼|fandi\nforghi
也许|eble\nprobable
页|pagho\nfolio
掖窝|akselo
业务|profesia laboro\nokupo
业余爱好者|amatoro\ndiletanto
叶|folio
叶绿素|klorofilo
叶脉|ripo\nvejno
叶锈病|folia rusto
腋下|subbrako\nakselo
夜|nokto
夜班|nokta dejhoro\nnoktoskipo
夜大学|vespera universitato
夜壶|noktovazo
